,Date,DataType
0,2011-02-17,acoustic
1,2011-02-18,acoustic
2,2011-02-19,acoustic
3,2011-02-20,acoustic
4,2011-02-21,acoustic
5,2011-02-22,acoustic
6,2011-02-23,acoustic
7,2011-02-24,acoustic
8,2011-02-25,acoustic
9,2011-02-26,acoustic
10,2011-02-27,acoustic
11,2011-02-28,acoustic
12,2011-03-01,acoustic
13,2011-03-02,acoustic
14,2011-03-03,acoustic
15,2011-03-04,acoustic
16,2011-03-05,acoustic
17,2011-03-06,acoustic
18,2011-03-07,acoustic
19,2011-03-08,acoustic
20,2011-03-09,acoustic
21,2011-03-10,acoustic
22,2011-03-11,acoustic
23,2011-03-12,acoustic
24,2011-03-13,acoustic
25,2011-03-14,acoustic
26,2011-03-15,acoustic
27,2011-03-16,acoustic
28,2011-03-17,acoustic
29,2011-03-18,acoustic
30,2011-03-19,acoustic
31,2011-03-20,acoustic
32,2011-03-21,acoustic
33,2011-03-22,acoustic
34,2011-03-23,acoustic
35,2011-03-24,acoustic
36,2011-03-25,acoustic
37,2011-03-26,acoustic
38,2011-03-27,acoustic
39,2011-03-28,acoustic
40,2011-03-29,acoustic
41,2011-03-30,acoustic
42,2011-03-31,acoustic
43,2011-04-01,acoustic
44,2011-04-02,acoustic
45,2011-04-03,acoustic
46,2011-04-04,acoustic
47,2011-04-05,acoustic
48,2011-04-06,acoustic
49,2011-04-07,acoustic
50,2011-04-08,acoustic
51,2011-04-09,acoustic
52,2011-04-10,acoustic
53,2011-04-11,acoustic
54,2011-04-12,acoustic
55,2011-04-13,acoustic
56,2011-04-14,acoustic
57,2011-04-15,acoustic
58,2011-04-16,acoustic
59,2011-04-17,acoustic
60,2011-04-18,acoustic
61,2011-04-19,acoustic
62,2011-04-20,acoustic
63,2011-04-21,acoustic
64,2011-04-22,acoustic
65,2011-04-23,acoustic
66,2011-04-24,acoustic
67,2011-04-25,acoustic
68,2011-04-26,acoustic
69,2011-04-27,acoustic
70,2011-04-28,acoustic
71,2011-04-29,acoustic
72,2011-04-30,acoustic
73,2011-05-01,acoustic
74,2011-05-02,acoustic
75,2011-05-03,acoustic
76,2011-05-04,acoustic
77,2011-05-05,acoustic
78,2011-05-06,acoustic
79,2011-05-07,acoustic
80,2011-05-08,acoustic
81,2013-01-28,acoustic
82,2013-01-29,acoustic
83,2013-01-30,acoustic
84,2013-01-31,acoustic
85,2013-02-01,acoustic
86,2013-02-02,acoustic
87,2013-02-03,acoustic
88,2013-02-04,acoustic
89,2013-02-05,acoustic
90,2013-02-06,acoustic
91,2013-02-07,acoustic
92,2013-02-08,acoustic
93,2013-02-09,acoustic
94,2013-02-10,acoustic
95,2013-02-11,acoustic
96,2013-02-12,acoustic
97,2013-02-13,acoustic
98,2013-02-14,acoustic
99,2013-02-15,acoustic
100,2013-02-16,acoustic
101,2013-02-17,acoustic
102,2013-02-18,acoustic
103,2013-02-19,acoustic
104,2013-02-20,acoustic
105,2013-02-21,acoustic
106,2013-02-22,acoustic
107,2013-02-23,acoustic
108,2013-02-24,acoustic
109,2013-02-25,acoustic
110,2013-02-26,acoustic
111,2013-02-27,acoustic
112,2013-02-28,acoustic
113,2013-03-01,acoustic
114,2013-03-02,acoustic
115,2013-03-03,acoustic
116,2013-03-04,acoustic
117,2013-03-05,acoustic
118,2013-03-06,acoustic
119,2013-03-07,acoustic
120,2013-03-08,acoustic
121,2013-03-09,acoustic
122,2013-03-10,acoustic
123,2013-03-11,acoustic
124,2013-03-12,acoustic
125,2013-03-13,acoustic
126,2013-03-14,acoustic
127,2013-03-15,acoustic
128,2013-03-16,acoustic
129,2013-03-17,acoustic
130,2013-03-18,acoustic
131,2013-03-19,acoustic
132,2013-03-20,acoustic
133,2013-03-21,acoustic
134,2013-03-22,acoustic
135,2013-03-23,acoustic
136,2013-03-24,acoustic
137,2013-03-25,acoustic
138,2013-03-26,acoustic
139,2013-03-27,acoustic
140,2013-03-28,acoustic
141,2013-03-29,acoustic
