Date,DataType
2/17/2011,zooplankton
2/24/2011,zooplankton
3/17/2011,zooplankton
4/19/2011,zooplankton
4/25/2011,zooplankton
4/29/2011,zooplankton
1/26/2012,zooplankton
2/9/2012,zooplankton
2/15/2012,zooplankton
2/27/2012,zooplankton
2/29/2012,zooplankton
3/23/2012,zooplankton
4/1/2012,zooplankton
4/13/2012,zooplankton
4/17/2012,zooplankton
1/28/2013,zooplankton
3/11/2013,zooplankton
3/18/2013,zooplankton
4/8/2013,zooplankton
4/15/2013,zooplankton
4/26/2013,zooplankton
4/29/2013,zooplankton
5/1/2013,zooplankton
5/5/2013,zooplankton
3/4/2014,zooplankton
3/25/2014,zooplankton
4/2/2014,zooplankton
4/4/2014,zooplankton
4/9/2014,zooplankton
4/12/2014,zooplankton
4/18/2014,zooplankton
4/21/2014,zooplankton
4/25/2014,zooplankton
2/18/2015,zooplankton
3/20/2015,zooplankton
4/6/2015,zooplankton
4/15/2015,zooplankton
4/18/2015,zooplankton
4/27/2015,zooplankton
5/6/2015,zooplankton
5/8/2015,zooplankton
3/8/2016,zooplankton
3/30/2016,zooplankton
4/6/2016,zooplankton
4/9/2016,zooplankton
4/18/2016,zooplankton
4/25/2016,zooplankton
4/27/2016,zooplankton
4/29/2016,zooplankton
2/28/2017,zooplankton
3/18/2017,zooplankton
3/31/2017,zooplankton
4/3/2017,zooplankton
4/9/2017,zooplankton
4/12/2017,zooplankton
4/14/2017,zooplankton
4/18/2017,zooplankton
5/4/2017,zooplankton
5/9/2017,zooplankton
2/24/2018,zooplankton
3/12/2018,zooplankton
3/20/2018,zooplankton
3/28/2018,zooplankton
4/11/2018,zooplankton
4/13/2018,zooplankton
4/22/2018,zooplankton
4/27/2018,zooplankton
4/30/2018,zooplankton
5/6/2018,zooplankton
