Date,DataType,sightings
2008-01-12,Whale_NARWC,1
2008-01-29,Whale_NARWC,1
2008-02-03,Whale_NARWC,2
2008-02-04,Whale_NARWC,2
2008-02-21,Whale_NARWC,1
2008-02-24,Whale_CCS,0
2008-02-25,Whale_NARWC,1
2008-02-29,Whale_CCS,0
2008-02-29,Whale_NARWC,5
2008-03-06,Whale_CCS,0
2008-03-06,Whale_NARWC,18
2008-03-07,Whale_NARWC,12
2008-03-11,Whale_CCS,0
2008-03-11,Whale_NARWC,31
2008-03-14,Whale_CCS,0
2008-03-14,Whale_NARWC,37
2008-03-18,Whale_CCS,0
2008-03-18,Whale_NARWC,5
2008-03-24,Whale_CCS,0
2008-03-24,Whale_NARWC,16
2008-03-27,Whale_CCS,0
2008-03-27,Whale_NARWC,25
2008-04-08,Whale_CCS,0
2008-04-08,Whale_NARWC,34
2008-04-09,Whale_CCS,0
2008-04-09,Whale_NARWC,101
2008-04-10,Whale_CCS,0
2008-04-10,Whale_NARWC,58
2008-04-11,Whale_CCS,0
2008-04-11,Whale_NARWC,17
2008-04-14,Whale_CCS,0
2008-04-14,Whale_NARWC,14
2008-04-15,Whale_CCS,0
2008-04-15,Whale_NARWC,91
2008-04-16,Whale_CCS,0
2008-04-19,Whale_CCS,0
2008-04-19,Whale_NARWC,66
2008-04-20,Whale_NARWC,1
2008-04-21,Whale_CCS,0
2008-04-21,Whale_NARWC,67
2008-04-23,Whale_CCS,0
2008-04-23,Whale_NARWC,33
2008-04-25,Whale_NARWC,3
2008-04-26,Whale_NARWC,2
2008-04-27,Whale_NARWC,2
2008-04-28,Whale_NARWC,1
2008-05-01,Whale_CCS,0
2008-05-01,Whale_NARWC,9
2008-05-06,Whale_CCS,0
2008-05-15,Whale_CCS,0
2008-05-15,Whale_NARWC,1
2009-01-26,Whale_NARWC,1
2009-01-30,Whale_NARWC,2
2009-02-02,Whale_NARWC,2
2009-02-11,Whale_NARWC,12
2009-02-16,Whale_NARWC,18
2009-02-18,Whale_NARWC,3
2009-02-22,Whale_NARWC,2
2009-02-25,Whale_CCS,0
2009-02-25,Whale_NARWC,28
2009-02-26,Whale_NARWC,2
2009-03-10,Whale_CCS,0
2009-03-10,Whale_NARWC,54
2009-03-14,Whale_NARWC,2
2009-03-15,Whale_CCS,0
2009-03-15,Whale_NARWC,137
2009-03-17,Whale_CCS,0
2009-03-17,Whale_NARWC,53
2009-03-26,Whale_CCS,0
2009-03-26,Whale_NARWC,59
2009-04-01,Whale_NARWC,6
2009-04-09,Whale_CCS,0
2009-04-09,Whale_NARWC,16
2009-04-10,Whale_CCS,0
2009-04-10,Whale_NARWC,113
2009-04-14,Whale_CCS,0
2009-04-14,Whale_NARWC,64
2009-04-17,Whale_CCS,0
2009-04-17,Whale_NARWC,91
2009-04-18,Whale_NARWC,21
2009-04-24,Whale_NARWC,20
2009-04-25,Whale_NARWC,2
2009-04-26,Whale_NARWC,1
2009-04-27,Whale_NARWC,25
2009-04-30,Whale_NARWC,1
2009-05-04,Whale_NARWC,1
2009-09-26,Whale_NARWC,1
2010-01-28,Whale_NARWC,1
2010-02-02,Whale_NARWC,27
2010-02-03,Whale_NARWC,22
2010-02-13,Whale_NARWC,14
2010-02-22,Whale_NARWC,1
2010-02-28,Whale_NARWC,3
2010-03-02,Whale_NARWC,1
2010-03-07,Whale_NARWC,14
2010-03-10,Whale_CCS,0
2010-03-12,Whale_CCS,0
2010-03-12,Whale_NARWC,2
2010-03-17,Whale_NARWC,2
2010-03-19,Whale_CCS,0
2010-03-19,Whale_NARWC,3
2010-03-21,Whale_CCS,0
2010-03-21,Whale_NARWC,16
2010-03-25,Whale_CCS,0
2010-03-25,Whale_NARWC,10
2010-03-28,Whale_CCS,0
2010-03-28,Whale_NARWC,8
2010-04-01,Whale_NARWC,6
2010-04-02,Whale_CCS,0
2010-04-02,Whale_NARWC,62
2010-04-03,Whale_NARWC,7
2010-04-04,Whale_NARWC,6
2010-04-05,Whale_CCS,0
2010-04-05,Whale_NARWC,35
2010-04-06,Whale_NARWC,12
2010-04-08,Whale_CCS,0
2010-04-08,Whale_NARWC,2
2010-04-10,Whale_NARWC,1
2010-04-12,Whale_CCS,0
2010-04-12,Whale_NARWC,88
2010-04-13,Whale_CCS,0
2010-04-13,Whale_NARWC,74
2010-04-14,Whale_NARWC,5
2010-04-18,Whale_CCS,0
2010-04-18,Whale_NARWC,12
2010-04-20,Whale_CCS,0
2010-04-20,Whale_NARWC,15
2010-05-05,Whale_CCS,0
2011-01-06,Whale_NARWC,3
2011-01-17,Whale_NARWC,1
2011-01-22,Whale_NARWC,6
2011-01-28,Whale_NARWC,18
2011-01-29,Whale_NARWC,6
2011-02-07,Whale_NARWC,5
2011-02-17,Whale_CCS,0
2011-02-17,Whale_NARWC,24
2011-02-24,Whale_CCS,0
2011-02-24,Whale_NARWC,4
2011-03-04,Whale_CCS,0
2011-03-04,Whale_NARWC,1
2011-03-08,Whale_CCS,0
2011-03-08,Whale_NARWC,17
2011-03-13,Whale_CCS,0
2011-03-13,Whale_NARWC,13
2011-03-17,Whale_CCS,0
2011-03-17,Whale_NARWC,65
2011-03-20,Whale_CCS,0
2011-03-20,Whale_NARWC,10
2011-03-23,Whale_CCS,0
2011-03-23,Whale_NARWC,43
2011-03-25,Whale_CCS,0
2011-03-26,Whale_NARWC,1
2011-03-30,Whale_CCS,0
2011-03-30,Whale_NARWC,59
2011-04-07,Whale_NARWC,11
2011-04-08,Whale_NARWC,38
2011-04-14,Whale_NARWC,98
2011-04-15,Whale_NARWC,7
2011-04-19,Whale_CCS,0
2011-04-19,Whale_NARWC,121
2011-04-22,Whale_CCS,0
2011-04-22,Whale_NARWC,120
