Date,sightings
2008-01-12,1
2008-01-29,1
2008-02-03,2
2008-02-04,2
2008-02-21,1
2008-02-24,0
2008-02-25,1
2008-02-29,5
2008-03-06,18
2008-03-07,12
2008-03-11,31
2008-03-14,37
2008-03-18,5
2008-03-24,16
2008-03-27,25
2008-04-08,34
2008-04-09,101
2008-04-10,58
2008-04-11,17
2008-04-14,14
2008-04-15,91
2008-04-16,0
2008-04-19,66
2008-04-20,1
2008-04-21,67
2008-04-23,33
2008-04-25,3
2008-04-26,2
2008-04-27,2
2008-04-28,1
2008-05-01,9
2008-05-06,0
2008-05-15,1
2009-01-26,1
2009-01-30,2
2009-02-02,2
2009-02-11,12
2009-02-16,18
2009-02-18,3
2009-02-22,2
2009-02-25,28
2009-02-26,2
2009-03-10,54
2009-03-14,2
2009-03-15,137
2009-03-17,53
2009-03-26,59
2009-04-01,6
2009-04-09,16
2009-04-10,113
2009-04-14,64
2009-04-17,91
2009-04-18,21
2009-04-24,20
2009-04-25,2
2009-04-26,1
2009-04-27,25
2009-04-30,1
2009-05-04,1
2009-09-26,1
2010-01-28,1
2010-02-02,27
2010-02-03,22
2010-02-13,14
2010-02-22,1
2010-02-28,3
2010-03-02,1
2010-03-07,14
2010-03-10,0
2010-03-12,2
2010-03-17,2
2010-03-19,3
2010-03-21,16
2010-03-25,10
2010-03-28,8
2010-04-01,6
2010-04-02,62
2010-04-03,7
2010-04-04,6
2010-04-05,35
2010-04-06,12
2010-04-08,2
2010-04-10,1
2010-04-12,88
2010-04-13,74
2010-04-14,5
2010-04-18,12
2010-04-20,15
2010-05-05,0
2011-01-06,3
2011-01-17,1
2011-01-22,6
2011-01-28,18
2011-01-29,6
2011-02-07,5
2011-02-17,24
2011-02-24,4
2011-03-04,1
2011-03-08,17
2011-03-13,13
2011-03-17,65
2011-03-20,10
2011-03-23,43
2011-03-25,0
2011-03-26,1
2011-03-30,59
2011-04-07,11
2011-04-08,38
2011-04-14,98
2011-04-15,7
2011-04-19,121
2011-04-22,120
2011-04-24,59
2011-04-25,90
2011-04-27,2
2011-04-29,94
2011-04-30,3
2011-05-02,4
2011-05-03,33
2011-11-30,1
2011-12-03,3
2012-01-07,35
2012-01-16,16
2012-01-23,12
2012-01-26,40
2012-02-02,14
2012-02-05,47
2012-02-09,23
2012-02-15,76
2012-02-16,3
2012-02-27,9
2012-02-29,60
2012-03-04,33
2012-03-12,24
2012-03-16,40
2012-03-17,31
2012-03-18,1
2012-03-19,51
2012-03-20,36
2012-03-21,27
2012-03-23,38
2012-03-31,2
2012-04-01,11
2012-04-06,2
2012-04-13,111
2012-04-17,26
2012-04-19,3
2012-04-26,0
2012-05-03,0
2012-05-07,0
2012-08-16,1
2012-11-18,1
2012-12-12,1
2012-12-13,15
2012-12-29,5
2013-01-06,4
2013-01-11,32
2013-01-12,4
2013-01-17,2
2013-01-21,2
2013-01-28,9
2013-02-05,13
2013-02-06,7
2013-02-13,7
2013-02-19,1
2013-02-23,2
2013-02-26,8
2013-03-11,4
2013-03-13,6
2013-03-18,28
2013-03-21,16
2013-03-27,4
2013-03-29,2
2013-03-30,2
2013-04-04,4
2013-04-08,44
2013-04-10,58
2013-04-11,13
2013-04-13,5
2013-04-14,49
2013-04-15,130
2013-04-17,96
2013-04-18,24
2013-04-21,43
2013-04-23,1
2013-04-26,137
2013-04-27,117
2013-04-28,62
2013-04-29,106
2013-04-30,30
2013-05-01,52
2013-05-05,0
2013-10-31,1
2013-12-29,2
2014-01-05,12
2014-01-10,2
2014-01-16,2
2014-01-17,16
2014-02-01,6
2014-02-08,7
2014-02-12,19
2014-02-20,33
2014-02-23,14
2014-03-01,11
2014-03-04,48
2014-03-07,7
2014-03-08,2
2014-03-10,25
2014-03-12,7
2014-03-14,2
2014-03-17,7
2014-03-18,48
2014-03-19,6
2014-03-23,55
2014-03-25,71
2014-04-02,77
2014-04-04,103
2014-04-06,67
2014-04-07,6
2014-04-09,98
2014-04-12,127
2014-04-17,3
2014-04-18,75
2014-04-19,13
2014-04-21,56
2014-04-25,8
2014-05-02,0
2014-05-09,0
2014-12-22,7
2015-01-11,5
2015-01-21,1
2015-01-23,4
2015-02-12,17
2015-02-18,6
2015-02-24,10
2015-02-28,6
2015-03-03,7
2015-03-06,7
2015-03-07,1
2015-03-10,4
2015-03-20,1
2015-03-25,0
2015-03-31,0
2015-04-06,29
2015-04-12,4
2015-04-15,14
2015-04-16,15
2015-04-18,62
2015-04-19,33
2015-04-21,5
2015-04-22,28
2015-04-25,56
2015-04-26,58
2015-04-27,77
2015-04-29,80
2015-04-30,72
2015-05-01,9
2015-05-02,123
2015-05-03,7
2015-05-04,61
2015-05-06,91
2015-05-07,6
2015-05-08,54
2015-05-09,6
2015-05-11,13
2015-05-15,0
2015-07-23,2
2015-08-29,1
2015-08-30,1
2015-09-02,1
2016-01-07,2
2016-01-15,3
2016-01-30,3
2016-02-07,2
2016-02-12,2
2016-02-17,1
2016-02-19,6
2016-02-21,8
2016-02-27,9
2016-03-01,17
2016-03-04,6
2016-03-06,21
2016-03-08,53
2016-03-10,14
2016-03-17,10
2016-03-19,7
2016-03-23,35
2016-03-27,146
2016-03-30,103
2016-04-01,2
2016-04-02,29
2016-04-06,62
2016-04-09,46
2016-04-13,33
2016-04-17,19
2016-04-18,26
2016-04-19,4
2016-04-21,25
2016-04-22,21
2016-04-25,40
2016-04-27,16
2016-04-28,10
2016-04-29,6
2016-04-30,2
2016-05-06,0
2016-05-09,0
2017-01-17,2
2017-01-19,7
2017-01-30,11
2017-02-03,4
2017-02-14,15
2017-02-19,21
2017-02-21,8
2017-02-23,2
2017-02-24,6
2017-02-28,48
2017-03-06,18
2017-03-14,2
2017-03-18,23
2017-03-21,54
2017-03-25,18
2017-03-26,0
2017-03-28,29
2017-03-31,65
2017-04-03,108
2017-04-09,183
2017-04-11,4
2017-04-12,179
2017-04-13,5
2017-04-14,262
2017-04-15,6
2017-04-17,198
2017-04-18,13
2017-04-19,13
2017-04-20,60
2017-04-23,123
2017-04-24,74
2017-04-27,9
2017-04-28,0
2017-04-30,23
2017-05-01,12
2017-05-04,12
2017-05-09,0
2017-12-24,2
2018-01-16,16
2018-01-19,10
2018-02-06,19
2018-02-13,11
2018-02-15,2
2018-02-17,10
2018-02-24,73
2018-02-27,48
2018-03-01,33
2018-03-12,31
2018-03-20,32
2018-03-24,1
2018-03-28,59
2018-03-29,55
2018-04-02,1
2018-04-03,3
2018-04-07,0
2018-04-10,7
2018-04-11,14
2018-04-13,13
2018-04-21,43
2018-04-22,105
2018-04-23,40
2018-04-26,2
2018-04-27,172
2018-04-28,53
2018-04-30,124
2018-05-01,21
2018-05-03,13
2018-05-04,67
2018-05-05,3
2018-05-06,55
2018-05-07,2
2018-05-08,4
2018-05-09,12
2018-05-13,1
2018-05-14,0
2018-12-11,9
2018-12-14,5
2018-12-19,8
2018-12-30,3
