,Date,Overlap,variable,value
0,2008-01-12,Whale,Acoustic,
1,2008-01-29,Whale,Acoustic,
2,2008-02-03,Whale,Acoustic,
3,2008-02-04,Whale,Acoustic,
4,2008-02-21,Whale,Acoustic,
5,2008-02-23,Acoustic,Acoustic,Acoustic
6,2008-02-24,Acoustic,Acoustic,Acoustic
7,2008-02-25,AcousticWhale,Acoustic,Acoustic
8,2008-02-26,Acoustic,Acoustic,Acoustic
9,2008-02-27,Acoustic,Acoustic,Acoustic
10,2008-02-28,Acoustic,Acoustic,Acoustic
11,2008-02-29,AcousticWhale,Acoustic,Acoustic
12,2008-03-01,Acoustic,Acoustic,Acoustic
13,2008-03-02,Acoustic,Acoustic,Acoustic
14,2008-03-03,Acoustic,Acoustic,Acoustic
15,2008-03-04,Acoustic,Acoustic,Acoustic
16,2008-03-05,Acoustic,Acoustic,Acoustic
17,2008-03-06,AcousticWhale,Acoustic,Acoustic
18,2008-03-07,AcousticWhale,Acoustic,Acoustic
19,2008-03-08,Acoustic,Acoustic,Acoustic
20,2008-03-09,Acoustic,Acoustic,Acoustic
21,2008-03-10,Acoustic,Acoustic,Acoustic
22,2008-03-11,AcousticWhale,Acoustic,Acoustic
23,2008-03-12,Acoustic,Acoustic,Acoustic
24,2008-03-13,Acoustic,Acoustic,Acoustic
25,2008-03-14,AcousticWhale,Acoustic,Acoustic
26,2008-03-15,Acoustic,Acoustic,Acoustic
27,2008-03-16,Acoustic,Acoustic,Acoustic
28,2008-03-17,Acoustic,Acoustic,Acoustic
29,2008-03-18,AcousticWhale,Acoustic,Acoustic
30,2008-03-19,Acoustic,Acoustic,Acoustic
31,2008-03-20,Acoustic,Acoustic,Acoustic
32,2008-03-21,Acoustic,Acoustic,Acoustic
33,2008-03-22,Acoustic,Acoustic,Acoustic
34,2008-03-23,Acoustic,Acoustic,Acoustic
35,2008-03-24,AcousticWhale,Acoustic,Acoustic
36,2008-03-25,Acoustic,Acoustic,Acoustic
37,2008-03-26,Acoustic,Acoustic,Acoustic
38,2008-03-27,AcousticWhale,Acoustic,Acoustic
39,2008-03-28,Acoustic,Acoustic,Acoustic
40,2008-03-29,Acoustic,Acoustic,Acoustic
41,2008-03-30,Acoustic,Acoustic,Acoustic
42,2008-03-31,Acoustic,Acoustic,Acoustic
43,2008-04-01,Acoustic,Acoustic,Acoustic
44,2008-04-02,Acoustic,Acoustic,Acoustic
45,2008-04-03,Acoustic,Acoustic,Acoustic
46,2008-04-04,Acoustic,Acoustic,Acoustic
47,2008-04-05,Acoustic,Acoustic,Acoustic
48,2008-04-06,Acoustic,Acoustic,Acoustic
49,2008-04-07,Acoustic,Acoustic,Acoustic
50,2008-04-08,AcousticWhale,Acoustic,Acoustic
51,2008-04-09,AcousticWhale,Acoustic,Acoustic
52,2008-04-10,AcousticWhale,Acoustic,Acoustic
53,2008-04-11,AcousticWhale,Acoustic,Acoustic
54,2008-04-12,Acoustic,Acoustic,Acoustic
55,2008-04-13,Acoustic,Acoustic,Acoustic
56,2008-04-14,AcousticWhale,Acoustic,Acoustic
57,2008-04-15,AcousticWhale,Acoustic,Acoustic
58,2008-04-16,Acoustic,Acoustic,Acoustic
59,2008-04-17,Acoustic,Acoustic,Acoustic
60,2008-04-18,Acoustic,Acoustic,Acoustic
61,2008-04-19,AcousticWhale,Acoustic,Acoustic
62,2008-04-20,AcousticWhale,Acoustic,Acoustic
63,2008-04-21,AcousticWhale,Acoustic,Acoustic
64,2008-04-22,Acoustic,Acoustic,Acoustic
65,2008-04-23,AcousticWhale,Acoustic,Acoustic
66,2008-04-24,Acoustic,Acoustic,Acoustic
67,2008-04-25,AcousticWhale,Acoustic,Acoustic
68,2008-04-26,AcousticWhale,Acoustic,Acoustic
69,2008-04-27,AcousticWhale,Acoustic,Acoustic
70,2008-04-28,AcousticWhale,Acoustic,Acoustic
71,2008-04-29,Acoustic,Acoustic,Acoustic
72,2008-04-30,Acoustic,Acoustic,Acoustic
73,2008-05-01,AcousticWhale,Acoustic,Acoustic
74,2008-05-02,Acoustic,Acoustic,Acoustic
75,2008-05-03,Acoustic,Acoustic,Acoustic
76,2008-05-04,Acoustic,Acoustic,Acoustic
77,2008-05-05,Acoustic,Acoustic,Acoustic
78,2008-05-06,Acoustic,Acoustic,Acoustic
79,2008-05-07,Acoustic,Acoustic,Acoustic
80,2008-05-08,Acoustic,Acoustic,Acoustic
81,2008-05-09,Acoustic,Acoustic,Acoustic
82,2008-05-10,Acoustic,Acoustic,Acoustic
83,2008-05-11,Acoustic,Acoustic,Acoustic
84,2008-05-12,Acoustic,Acoustic,Acoustic
85,2008-05-13,Acoustic,Acoustic,Acoustic
86,2008-05-14,Acoustic,Acoustic,Acoustic
87,2008-05-15,AcousticWhale,Acoustic,Acoustic
88,2008-05-16,Acoustic,Acoustic,Acoustic
89,2008-05-17,Acoustic,Acoustic,Acoustic
90,2008-05-18,Acoustic,Acoustic,Acoustic
91,2008-05-19,Acoustic,Acoustic,Acoustic
92,2008-05-20,Acoustic,Acoustic,Acoustic
93,2009-01-26,Whale,Acoustic,
94,2009-01-30,Whale,Acoustic,
95,2009-02-02,Whale,Acoustic,
96,2009-02-11,Whale,Acoustic,
97,2009-02-16,Whale,Acoustic,
98,2009-02-17,Acoustic,Acoustic,Acoustic
99,2009-02-18,AcousticWhale,Acoustic,Acoustic
100,2009-02-19,Acoustic,Acoustic,Acoustic
101,2009-02-20,Acoustic,Acoustic,Acoustic
102,2009-02-21,Acoustic,Acoustic,Acoustic
103,2009-02-22,AcousticWhale,Acoustic,Acoustic
104,2009-02-23,Acoustic,Acoustic,Acoustic
105,2009-02-24,Acoustic,Acoustic,Acoustic
106,2009-02-25,AcousticWhale,Acoustic,Acoustic
107,2009-02-26,AcousticWhale,Acoustic,Acoustic
108,2009-02-27,Acoustic,Acoustic,Acoustic
109,2009-02-28,Acoustic,Acoustic,Acoustic
110,2009-03-01,Acoustic,Acoustic,Acoustic
111,2009-03-02,Acoustic,Acoustic,Acoustic
112,2009-03-03,Acoustic,Acoustic,Acoustic
113,2009-03-04,Acoustic,Acoustic,Acoustic
114,2009-03-05,Acoustic,Acoustic,Acoustic
115,2009-03-06,Acoustic,Acoustic,Acoustic
116,2009-03-07,Acoustic,Acoustic,Acoustic
117,2009-03-08,Acoustic,Acoustic,Acoustic
118,2009-03-09,Acoustic,Acoustic,Acoustic
119,2009-03-10,AcousticWhale,Acoustic,Acoustic
120,2009-03-11,Acoustic,Acoustic,Acoustic
