,Date,Acoustic,Whale,Zooplankton,DataCount,Trifecta
0,2008-01-12,,Whale,,1,0
1,2008-01-29,,Whale,,1,0
2,2008-02-03,,Whale,,1,0
3,2008-02-04,,Whale,,1,0
4,2008-02-21,,Whale,,1,0
5,2008-02-23,Acoustic,,,1,0
6,2008-02-24,Acoustic,,,1,0
7,2008-02-25,Acoustic,Whale,,2,0
8,2008-02-26,Acoustic,,,1,0
9,2008-02-27,Acoustic,,,1,0
10,2008-02-28,Acoustic,,,1,0
11,2008-02-29,Acoustic,Whale,,2,0
12,2008-03-01,Acoustic,,,1,0
13,2008-03-02,Acoustic,,,1,0
14,2008-03-03,Acoustic,,,1,0
15,2008-03-04,Acoustic,,,1,0
16,2008-03-05,Acoustic,,,1,0
17,2008-03-06,Acoustic,Whale,,2,0
18,2008-03-07,Acoustic,Whale,,2,0
19,2008-03-08,Acoustic,,,1,0
20,2008-03-09,Acoustic,,,1,0
21,2008-03-10,Acoustic,,,1,0
22,2008-03-11,Acoustic,Whale,,2,0
23,2008-03-12,Acoustic,,,1,0
24,2008-03-13,Acoustic,,,1,0
25,2008-03-14,Acoustic,Whale,,2,0
26,2008-03-15,Acoustic,,,1,0
27,2008-03-16,Acoustic,,,1,0
28,2008-03-17,Acoustic,,,1,0
29,2008-03-18,Acoustic,Whale,,2,0
30,2008-03-19,Acoustic,,,1,0
31,2008-03-20,Acoustic,,,1,0
32,2008-03-21,Acoustic,,,1,0
33,2008-03-22,Acoustic,,,1,0
34,2008-03-23,Acoustic,,,1,0
35,2008-03-24,Acoustic,Whale,,2,0
36,2008-03-25,Acoustic,,,1,0
37,2008-03-26,Acoustic,,,1,0
38,2008-03-27,Acoustic,Whale,,2,0
39,2008-03-28,Acoustic,,,1,0
40,2008-03-29,Acoustic,,,1,0
41,2008-03-30,Acoustic,,,1,0
42,2008-03-31,Acoustic,,,1,0
43,2008-04-01,Acoustic,,,1,0
44,2008-04-02,Acoustic,,,1,0
45,2008-04-03,Acoustic,,,1,0
46,2008-04-04,Acoustic,,,1,0
47,2008-04-05,Acoustic,,,1,0
48,2008-04-06,Acoustic,,,1,0
49,2008-04-07,Acoustic,,,1,0
50,2008-04-08,Acoustic,Whale,,2,0
51,2008-04-09,Acoustic,Whale,,2,0
52,2008-04-10,Acoustic,Whale,,2,0
53,2008-04-11,Acoustic,Whale,,2,0
54,2008-04-12,Acoustic,,,1,0
55,2008-04-13,Acoustic,,,1,0
56,2008-04-14,Acoustic,Whale,,2,0
57,2008-04-15,Acoustic,Whale,,2,0
58,2008-04-16,Acoustic,,,1,0
59,2008-04-17,Acoustic,,,1,0
60,2008-04-18,Acoustic,,,1,0
61,2008-04-19,Acoustic,Whale,,2,0
62,2008-04-20,Acoustic,Whale,,2,0
63,2008-04-21,Acoustic,Whale,,2,0
64,2008-04-22,Acoustic,,,1,0
65,2008-04-23,Acoustic,Whale,,2,0
66,2008-04-24,Acoustic,,,1,0
67,2008-04-25,Acoustic,Whale,,2,0
68,2008-04-26,Acoustic,Whale,,2,0
69,2008-04-27,Acoustic,Whale,,2,0
70,2008-04-28,Acoustic,Whale,,2,0
71,2008-04-29,Acoustic,,,1,0
72,2008-04-30,Acoustic,,,1,0
73,2008-05-01,Acoustic,Whale,,2,0
74,2008-05-02,Acoustic,,,1,0
75,2008-05-03,Acoustic,,,1,0
76,2008-05-04,Acoustic,,,1,0
77,2008-05-05,Acoustic,,,1,0
78,2008-05-06,Acoustic,,,1,0
79,2008-05-07,Acoustic,,,1,0
80,2008-05-08,Acoustic,,,1,0
81,2008-05-09,Acoustic,,,1,0
82,2008-05-10,Acoustic,,,1,0
83,2008-05-11,Acoustic,,,1,0
84,2008-05-12,Acoustic,,,1,0
85,2008-05-13,Acoustic,,,1,0
86,2008-05-14,Acoustic,,,1,0
87,2008-05-15,Acoustic,Whale,,2,0
88,2008-05-16,Acoustic,,,1,0
89,2008-05-17,Acoustic,,,1,0
90,2008-05-18,Acoustic,,,1,0
91,2008-05-19,Acoustic,,,1,0
92,2008-05-20,Acoustic,,,1,0
93,2009-01-26,,Whale,,1,0
94,2009-01-30,,Whale,,1,0
95,2009-02-02,,Whale,,1,0
96,2009-02-11,,Whale,,1,0
97,2009-02-16,,Whale,,1,0
98,2009-02-17,Acoustic,,,1,0
99,2009-02-18,Acoustic,Whale,,2,0
100,2009-02-19,Acoustic,,,1,0
101,2009-02-20,Acoustic,,,1,0
102,2009-02-21,Acoustic,,,1,0
103,2009-02-22,Acoustic,Whale,,2,0
104,2009-02-23,Acoustic,,,1,0
105,2009-02-24,Acoustic,,,1,0
106,2009-02-25,Acoustic,Whale,,2,0
107,2009-02-26,Acoustic,Whale,,2,0
108,2009-02-27,Acoustic,,,1,0
109,2009-02-28,Acoustic,,,1,0
110,2009-03-01,Acoustic,,,1,0
111,2009-03-02,Acoustic,,,1,0
112,2009-03-03,Acoustic,,,1,0
113,2009-03-04,Acoustic,,,1,0
114,2009-03-05,Acoustic,,,1,0
115,2009-03-06,Acoustic,,,1,0
116,2009-03-07,Acoustic,,,1,0
117,2009-03-08,Acoustic,,,1,0
118,2009-03-09,Acoustic,,,1,0
119,2009-03-10,Acoustic,Whale,,2,0
120,2009-03-11,Acoustic,,,1,0
121,2009-03-12,Acoustic,,,1,0
122,2009-03-13,Acoustic,,,1,0
123,2009-03-14,Acoustic,Whale,,2,0
124,2009-03-15,Acoustic,Whale,,2,0
125,2009-03-16,Acoustic,,,1,0
126,2009-03-17,Acoustic,Whale,,2,0
127,2009-03-18,Acoustic,,,1,0
128,2009-03-19,Acoustic,,,1,0
129,2009-03-20,Acoustic,,,1,0
130,2009-03-21,Acoustic,,,1,0
131,2009-03-22,Acoustic,,,1,0
132,2009-03-23,Acoustic,,,1,0
133,2009-03-24,Acoustic,,,1,0
134,2009-03-25,Acoustic,,,1,0
135,2009-03-26,Acoustic,Whale,,2,0
136,2009-03-27,Acoustic,,,1,0
137,2009-03-28,Acoustic,,,1,0
138,2009-03-29,Acoustic,,,1,0
139,2009-03-30,Acoustic,,,1,0
140,2009-03-31,Acoustic,,,1,0
141,2009-04-01,Acoustic,Whale,,2,0
142,2009-04-02,Acoustic,,,1,0
143,2009-04-03,Acoustic,,,1,0
144,2009-04-04,Acoustic,,,1,0
145,2009-04-05,Acoustic,,,1,0
146,2009-04-06,Acoustic,,,1,0
147,2009-04-07,Acoustic,,,1,0
148,2009-04-08,Acoustic,,,1,0
149,2009-04-09,Acoustic,Whale,,2,0
150,2009-04-10,Acoustic,Whale,,2,0
151,2009-04-11,Acoustic,,,1,0
152,2009-04-12,Acoustic,,,1,0
153,2009-04-13,Acoustic,,,1,0
154,2009-04-14,Acoustic,Whale,,2,0
155,2009-04-15,Acoustic,,,1,0
156,2009-04-16,Acoustic,,,1,0
157,2009-04-17,Acoustic,Whale,,2,0
158,2009-04-18,Acoustic,Whale,,2,0
159,2009-04-19,Acoustic,,,1,0
160,2009-04-20,Acoustic,,,1,0
161,2009-04-21,Acoustic,,,1,0
162,2009-04-22,Acoustic,,,1,0
163,2009-04-23,Acoustic,,,1,0
164,2009-04-24,Acoustic,Whale,,2,0
165,2009-04-25,Acoustic,Whale,,2,0
166,2009-04-26,Acoustic,Whale,,2,0
167,2009-04-27,Acoustic,Whale,,2,0
168,2009-04-28,Acoustic,,,1,0
169,2009-04-29,Acoustic,,,1,0
170,2009-04-30,Acoustic,Whale,,2,0
171,2009-05-01,Acoustic,,,1,0
172,2009-05-02,Acoustic,,,1,0
173,2009-05-03,Acoustic,,,1,0
174,2009-05-04,Acoustic,Whale,,2,0
175,2009-05-05,Acoustic,,,1,0
176,2009-05-06,Acoustic,,,1,0
177,2009-05-07,Acoustic,,,1,0
178,2009-05-08,Acoustic,,,1,0
179,2009-05-09,Acoustic,,,1,0
180,2009-05-10,Acoustic,,,1,0
181,2009-05-11,Acoustic,,,1,0
182,2009-05-12,Acoustic,,,1,0
183,2009-05-13,Acoustic,,,1,0
184,2009-05-14,Acoustic,,,1,0
185,2009-05-15,Acoustic,,,1,0
186,2009-05-16,Acoustic,,,1,0
187,2009-09-26,,Whale,,1,0
188,2010-01-28,,Whale,,1,0
189,2010-02-02,,Whale,,1,0
190,2010-02-03,,Whale,,1,0
191,2010-02-13,,Whale,,1,0
192,2010-02-22,,Whale,,1,0
193,2010-02-28,,Whale,,1,0
194,2010-03-02,,Whale,,1,0
195,2010-03-07,,Whale,,1,0
196,2010-03-08,Acoustic,,,1,0
197,2010-03-09,Acoustic,,,1,0
198,2010-03-10,Acoustic,,,1,0
199,2010-03-11,Acoustic,,,1,0
200,2010-03-12,Acoustic,Whale,,2,0
201,2010-03-13,Acoustic,,,1,0
202,2010-03-14,Acoustic,,,1,0
203,2010-03-15,Acoustic,,,1,0
204,2010-03-16,Acoustic,,,1,0
205,2010-03-17,Acoustic,Whale,,2,0
206,2010-03-18,Acoustic,,,1,0
207,2010-03-19,Acoustic,Whale,,2,0
208,2010-03-20,Acoustic,,,1,0
209,2010-03-21,Acoustic,Whale,,2,0
210,2010-03-22,Acoustic,,,1,0
211,2010-03-23,Acoustic,,,1,0
212,2010-03-24,Acoustic,,,1,0
213,2010-03-25,Acoustic,Whale,,2,0
214,2010-03-26,Acoustic,,,1,0
215,2010-03-27,Acoustic,,,1,0
216,2010-03-28,Acoustic,Whale,,2,0
217,2010-03-29,Acoustic,,,1,0
218,2010-03-30,Acoustic,,,1,0
219,2010-03-31,Acoustic,,,1,0
220,2010-04-01,Acoustic,Whale,,2,0
221,2010-04-02,Acoustic,Whale,,2,0
222,2010-04-03,Acoustic,Whale,,2,0
223,2010-04-04,Acoustic,Whale,,2,0
224,2010-04-05,Acoustic,Whale,,2,0
225,2010-04-06,Acoustic,Whale,,2,0
226,2010-04-07,Acoustic,,,1,0
227,2010-04-08,Acoustic,Whale,,2,0
228,2010-04-09,Acoustic,,,1,0
229,2010-04-10,Acoustic,Whale,,2,0
230,2010-04-11,Acoustic,,,1,0
231,2010-04-12,Acoustic,Whale,,2,0
232,2010-04-13,Acoustic,Whale,,2,0
233,2010-04-14,Acoustic,Whale,,2,0
234,2010-04-15,Acoustic,,,1,0
