,Date,DataType,sightings,Overlap
0,2008-02-23,Acoustic,,Acoustic
1,2008-02-24,Acoustic,,Acoustic
2,2008-02-25,Acoustic,,AcousticWhale
3,2008-02-26,Acoustic,,Acoustic
4,2008-02-27,Acoustic,,Acoustic
5,2008-02-28,Acoustic,,Acoustic
6,2008-02-29,Acoustic,,AcousticWhale
7,2008-03-01,Acoustic,,Acoustic
8,2008-03-02,Acoustic,,Acoustic
9,2008-03-03,Acoustic,,Acoustic
10,2008-03-04,Acoustic,,Acoustic
11,2008-03-05,Acoustic,,Acoustic
12,2008-03-06,Acoustic,,AcousticWhale
13,2008-03-07,Acoustic,,AcousticWhale
14,2008-03-08,Acoustic,,Acoustic
15,2008-03-09,Acoustic,,Acoustic
16,2008-03-10,Acoustic,,Acoustic
17,2008-03-11,Acoustic,,AcousticWhale
18,2008-03-12,Acoustic,,Acoustic
19,2008-03-13,Acoustic,,Acoustic
20,2008-03-14,Acoustic,,AcousticWhale
21,2008-03-15,Acoustic,,Acoustic
22,2008-03-16,Acoustic,,Acoustic
23,2008-03-17,Acoustic,,Acoustic
24,2008-03-18,Acoustic,,AcousticWhale
25,2008-03-19,Acoustic,,Acoustic
26,2008-03-20,Acoustic,,Acoustic
27,2008-03-21,Acoustic,,Acoustic
28,2008-03-22,Acoustic,,Acoustic
29,2008-03-23,Acoustic,,Acoustic
30,2008-03-24,Acoustic,,AcousticWhale
31,2008-03-25,Acoustic,,Acoustic
32,2008-03-26,Acoustic,,Acoustic
33,2008-03-27,Acoustic,,AcousticWhale
34,2008-03-28,Acoustic,,Acoustic
35,2008-03-29,Acoustic,,Acoustic
36,2008-03-30,Acoustic,,Acoustic
37,2008-03-31,Acoustic,,Acoustic
38,2008-04-01,Acoustic,,Acoustic
39,2008-04-02,Acoustic,,Acoustic
40,2008-04-03,Acoustic,,Acoustic
41,2008-04-04,Acoustic,,Acoustic
42,2008-04-05,Acoustic,,Acoustic
43,2008-04-06,Acoustic,,Acoustic
44,2008-04-07,Acoustic,,Acoustic
45,2008-04-08,Acoustic,,AcousticWhale
46,2008-04-09,Acoustic,,AcousticWhale
47,2008-04-10,Acoustic,,AcousticWhale
48,2008-04-11,Acoustic,,AcousticWhale
49,2008-04-12,Acoustic,,Acoustic
50,2008-04-13,Acoustic,,Acoustic
51,2008-04-14,Acoustic,,AcousticWhale
52,2008-04-15,Acoustic,,AcousticWhale
53,2008-04-16,Acoustic,,Acoustic
54,2008-04-17,Acoustic,,Acoustic
55,2008-04-18,Acoustic,,Acoustic
56,2008-04-19,Acoustic,,AcousticWhale
57,2008-04-20,Acoustic,,AcousticWhale
58,2008-04-21,Acoustic,,AcousticWhale
59,2008-04-22,Acoustic,,Acoustic
60,2008-04-23,Acoustic,,AcousticWhale
61,2008-04-24,Acoustic,,Acoustic
62,2008-04-25,Acoustic,,AcousticWhale
63,2008-04-26,Acoustic,,AcousticWhale
64,2008-04-27,Acoustic,,AcousticWhale
65,2008-04-28,Acoustic,,AcousticWhale
66,2008-04-29,Acoustic,,Acoustic
67,2008-04-30,Acoustic,,Acoustic
68,2008-05-01,Acoustic,,AcousticWhale
69,2008-05-02,Acoustic,,Acoustic
70,2008-05-03,Acoustic,,Acoustic
71,2008-05-04,Acoustic,,Acoustic
72,2008-05-05,Acoustic,,Acoustic
73,2008-05-06,Acoustic,,Acoustic
74,2008-05-07,Acoustic,,Acoustic
75,2008-05-08,Acoustic,,Acoustic
76,2008-05-09,Acoustic,,Acoustic
77,2008-05-10,Acoustic,,Acoustic
78,2008-05-11,Acoustic,,Acoustic
79,2008-05-12,Acoustic,,Acoustic
80,2008-05-13,Acoustic,,Acoustic
81,2008-05-14,Acoustic,,Acoustic
82,2008-05-15,Acoustic,,AcousticWhale
83,2008-05-16,Acoustic,,Acoustic
84,2008-05-17,Acoustic,,Acoustic
85,2008-05-18,Acoustic,,Acoustic
86,2008-05-19,Acoustic,,Acoustic
87,2008-05-20,Acoustic,,Acoustic
88,2009-02-17,Acoustic,,Acoustic
89,2009-02-18,Acoustic,,AcousticWhale
90,2009-02-19,Acoustic,,Acoustic
91,2009-02-20,Acoustic,,Acoustic
92,2009-02-21,Acoustic,,Acoustic
93,2009-02-22,Acoustic,,AcousticWhale
94,2009-02-23,Acoustic,,Acoustic
95,2009-02-24,Acoustic,,Acoustic
96,2009-02-25,Acoustic,,AcousticWhale
97,2009-02-26,Acoustic,,AcousticWhale
