,c_uniqueUnitID,Date
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-18
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-19
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-20
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-21
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-22
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-23
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-24
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-25
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-26
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-27
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-28
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-01
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-02
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-03
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-04
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-05
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-06
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-07
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-08
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-09
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-10
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-11
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-12
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-13
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-14
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-15
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-16
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-17
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-18
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-19
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-20
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-21
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-22
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-23
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-24
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-25
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-26
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-27
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-28
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-29
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-30
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-31
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-01
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-02
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-03
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-04
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-05
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-06
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-07
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-08
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-09
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-10
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-11
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-12
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-13
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-14
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-15
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-16
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-17
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-18
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-19
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-20
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-21
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-22
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-23
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-24
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-25
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-26
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-27
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-28
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-29
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-30
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-01
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-02
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-03
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-04
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-05
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-06
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-07
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-08
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-01-28
