,between_days,c_uniqueUnitID,Transect,DataAvail
0,2011-01-01,,,None
1,2011-01-02,,,None
2,2011-01-03,,40,Prey
3,2011-01-04,,40,Prey
4,2011-01-05,,40,Prey
5,2011-01-06,,40,Prey
6,2011-01-07,,40,Prey
7,2011-01-08,,40,Prey
8,2011-01-09,,40,Prey
9,2011-01-10,,40,Prey
10,2011-01-11,,40,Prey
11,2011-01-12,,40,Prey
12,2011-01-13,,40,Prey
13,2011-01-14,,40,Prey
14,2011-01-15,,40,Prey
15,2011-01-16,,40,Prey
16,2011-01-17,,40,Prey
17,2011-01-18,,40,Prey
18,2011-01-19,,40,Prey
19,2011-01-20,,40,Prey
20,2011-01-21,,40,Prey
21,2011-01-22,,40,Prey
22,2011-01-23,,40,Prey
23,2011-01-24,,40,Prey
24,2011-01-25,,40,Prey
25,2011-01-26,,40,Prey
26,2011-01-27,,40,Prey
27,2011-01-28,,40,Prey
28,2011-01-29,,40,Prey
29,2011-01-30,,40,Prey
30,2011-01-31,,40,Prey
31,2011-02-01,,40,Prey
32,2011-02-02,,40,Prey
33,2011-02-03,,40,Prey
34,2011-02-04,,,None
35,2011-02-05,,,None
36,2011-02-06,,,None
37,2011-02-07,,,None
38,2011-02-08,,,None
39,2011-02-09,,,None
40,2011-02-10,,,None
41,2011-02-11,,,None
42,2011-02-12,,,None
43,2011-02-13,,,None
44,2011-02-14,,,None
45,2011-02-15,,,None
46,2011-02-16,,,None
47,2011-02-17,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,50,Both
48,2011-02-17,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,50,Both
49,2011-02-17,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,50,Both
50,2011-02-17,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,50,Both
51,2011-02-17,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,50,Both
52,2011-02-17,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,50,Both
53,2011-02-17,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,50,Both
54,2011-02-17,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,50,Both
55,2011-02-18,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,50,Both
56,2011-02-18,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,50,Both
57,2011-02-18,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,50,Both
58,2011-02-18,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,50,Both
59,2011-02-18,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,50,Both
60,2011-02-18,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,50,Both
61,2011-02-18,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,50,Both
62,2011-02-18,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,50,Acoustic
63,2011-02-19,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,50,Acoustic
64,2011-02-19,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,50,Acoustic
65,2011-02-19,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,50,Acoustic
66,2011-02-19,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,50,Acoustic
67,2011-02-19,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,50,Acoustic
68,2011-02-19,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,50,Acoustic
69,2011-02-19,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,50,Acoustic
70,2011-02-19,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,50,Acoustic
71,2011-02-20,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,50,Acoustic
72,2011-02-20,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,50,Acoustic
73,2011-02-20,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,50,Acoustic
74,2011-02-20,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,50,Acoustic
75,2011-02-20,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,50,Acoustic
76,2011-02-20,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,50,Acoustic
77,2011-02-20,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,50,Acoustic
78,2011-02-20,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,50,Acoustic
79,2011-02-21,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,50,Acoustic
80,2011-02-21,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,50,Acoustic
81,2011-02-21,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,50,Acoustic
82,2011-02-21,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,50,Acoustic
