,between_days,c_recordOnDays,c_uniqueUnitID,deployDate,deploymentDepth_Meters,dutyCycle_Flag,latitudeDeployed_DecDeg,longitudeDeployed_DecDeg,recoveryDate,samplingRate_Hz
0,2011-01-01,,,,,,,,,
1,2011-01-02,,,,,,,,,
2,2011-01-03,,,,,,,,,
3,2011-01-04,,,,,,,,,
4,2011-01-05,,,,,,,,,
5,2011-01-06,,,,,,,,,
6,2011-01-07,,,,,,,,,
7,2011-01-08,,,,,,,,,
8,2011-01-09,,,,,,,,,
9,2011-01-10,,,,,,,,,
10,2011-01-11,,,,,,,,,
11,2011-01-12,,,,,,,,,
12,2011-01-13,,,,,,,,,
13,2011-01-14,,,,,,,,,
14,2011-01-15,,,,,,,,,
15,2011-01-16,,,,,,,,,
16,2011-01-17,,,,,,,,,
17,2011-01-18,,,,,,,,,
18,2011-01-19,,,,,,,,,
19,2011-01-20,,,,,,,,,
20,2011-01-21,,,,,,,,,
21,2011-01-22,,,,,,,,,
22,2011-01-23,,,,,,,,,
23,2011-01-24,,,,,,,,,
24,2011-01-25,,,,,,,,,
25,2011-01-26,,,,,,,,,
26,2011-01-27,,,,,,,,,
27,2011-01-28,,,,,,,,,
28,2011-01-29,,,,,,,,,
29,2011-01-30,,,,,,,,,
30,2011-01-31,,,,,,,,,
31,2011-02-01,,,,,,,,,
32,2011-02-02,,,,,,,,,
33,2011-02-03,,,,,,,,,
34,2011-02-04,,,,,,,,,
35,2011-02-05,,,,,,,,,
36,2011-02-06,,,,,,,,,
37,2011-02-07,,,,,,,,,
38,2011-02-08,,,,,,,,,
39,2011-02-09,,,,,,,,,
40,2011-02-10,,,,,,,,,
41,2011-02-11,,,,,,,,,
42,2011-02-12,,,,,,,,,
43,2011-02-13,,,,,,,,,
44,2011-02-14,,,,,,,,,
45,2011-02-15,,,,,,,,,
46,2011-02-16,,,,,,,,,
47,2011-02-17,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
48,2011-02-17,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,2011-02-17,30.5,N,41.8771,-70.254,2011-05-08,5000.0
49,2011-02-17,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,2011-02-17,30.9,N,41.8948,-70.4439,2011-05-08,5000.0
50,2011-02-17,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,2011-02-17,32.1,N,41.9334,-70.1859,2011-05-08,5000.0
51,2011-02-17,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,2011-02-17,42.1,N,41.9508,-70.3901,2011-05-08,5000.0
52,2011-02-17,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,2011-02-17,36.4,N,41.9711,-70.4765,2011-05-08,5000.0
53,2011-02-17,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,2011-02-17,40.5,N,41.9931,-70.2201,2011-05-08,5000.0
54,2011-02-17,80.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,2011-02-17,31.0,N,41.8762,-70.3412,2011-05-08,5000.0
55,2011-02-18,71.0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,37.2,N,41.9412,-70.288,2011-05-08,5000.0
