,between_days,Data
0,2011-01-01,
1,2011-01-02,
2,2011-01-03,
3,2011-01-04,
4,2011-01-05,
5,2011-01-06,
6,2011-01-07,
7,2011-01-08,
8,2011-01-09,
9,2011-01-10,
10,2011-01-11,
11,2011-01-12,
12,2011-01-13,
13,2011-01-14,
14,2011-01-15,
15,2011-01-16,
16,2011-01-17,
17,2011-01-18,
18,2011-01-19,
19,2011-01-20,
20,2011-01-21,
21,2011-01-22,
22,2011-01-23,
23,2011-01-24,
24,2011-01-25,
25,2011-01-26,
26,2011-01-27,
27,2011-01-28,
28,2011-01-29,
29,2011-01-30,
30,2011-01-31,
31,2011-02-01,
32,2011-02-02,
33,2011-02-03,
34,2011-02-04,
35,2011-02-05,
36,2011-02-06,
37,2011-02-07,
38,2011-02-08,
39,2011-02-09,
40,2011-02-10,
41,2011-02-11,
42,2011-02-12,
43,2011-02-13,
44,2011-02-14,
45,2011-02-15,
46,2011-02-16,
47,2011-02-17,acoustic
48,2011-02-18,acoustic
49,2011-02-19,acoustic
50,2011-02-20,acoustic
51,2011-02-21,acoustic
52,2011-02-22,acoustic
53,2011-02-23,acoustic
54,2011-02-24,acoustic
55,2011-02-25,acoustic
56,2011-02-26,acoustic
57,2011-02-27,acoustic
58,2011-02-28,acoustic
59,2011-03-01,acoustic
60,2011-03-02,acoustic
61,2011-03-03,acoustic
62,2011-03-04,acoustic
63,2011-03-05,acoustic
64,2011-03-06,acoustic
65,2011-03-07,acoustic
66,2011-03-08,acoustic
67,2011-03-09,acoustic
68,2011-03-10,acoustic
69,2011-03-11,acoustic
70,2011-03-12,acoustic
71,2011-03-13,acoustic
72,2011-03-14,acoustic
73,2011-03-15,acoustic
31,2011-02-01,prey
32,2011-02-02,prey
33,2011-02-03,prey
34,2011-02-04,prey
35,2011-02-05,prey
36,2011-02-06,prey
37,2011-02-07,prey
38,2011-02-08,prey
39,2011-02-09,prey
40,2011-02-10,prey
41,2011-02-11,prey
42,2011-02-12,prey
43,2011-02-13,prey
44,2011-02-14,prey
45,2011-02-15,prey
46,2011-02-16,prey
47,2011-02-17,prey
48,2011-02-18,prey
49,2011-02-19,prey
50,2011-02-20,prey
51,2011-02-21,prey
52,2011-02-22,prey
53,2011-02-23,prey
54,2011-02-24,prey
55,2011-02-25,prey
56,2011-02-26,prey
57,2011-02-27,prey
58,2011-02-28,prey
59,2011-03-01,prey
60,2011-03-02,prey
61,2011-03-03,prey
62,2011-03-04,prey
63,2011-03-05,prey
64,2011-03-06,prey
65,2011-03-07,prey
66,2011-03-08,prey
67,2011-03-09,prey
68,2011-03-10,prey
69,2011-03-11,prey
70,2011-03-12,prey
71,2011-03-13,prey
72,2011-03-14,prey
73,2011-03-15,prey
74,2011-03-16,acoustic
75,2011-03-17,acoustic
76,2011-03-18,acoustic
77,2011-03-19,acoustic
78,2011-03-20,acoustic
79,2011-03-21,acoustic
80,2011-03-22,acoustic
81,2011-03-23,acoustic
82,2011-03-24,acoustic
83,2011-03-25,acoustic
84,2011-03-26,acoustic
85,2011-03-27,acoustic
86,2011-03-28,acoustic
87,2011-03-29,acoustic
88,2011-03-30,acoustic
59,2011-03-01,whale
60,2011-03-02,whale
61,2011-03-03,whale
62,2011-03-04,whale
63,2011-03-05,whale
64,2011-03-06,whale
65,2011-03-07,whale
66,2011-03-08,whale
67,2011-03-09,whale
68,2011-03-10,whale
69,2011-03-11,whale
70,2011-03-12,whale
71,2011-03-13,whale
72,2011-03-14,whale
73,2011-03-15,whale
74,2011-03-16,whale
75,2011-03-17,whale
