,between_days,c_recordOnDays
0,2011-01-01,
1,2011-01-02,
2,2011-01-03,
3,2011-01-04,
4,2011-01-05,
5,2011-01-06,
6,2011-01-07,
7,2011-01-08,
8,2011-01-09,
9,2011-01-10,
10,2011-01-11,
11,2011-01-12,
12,2011-01-13,
13,2011-01-14,
14,2011-01-15,
15,2011-01-16,
16,2011-01-17,
17,2011-01-18,
18,2011-01-19,
19,2011-01-20,
20,2011-01-21,
21,2011-01-22,
22,2011-01-23,
23,2011-01-24,
24,2011-01-25,
25,2011-01-26,
26,2011-01-27,
27,2011-01-28,
28,2011-01-29,
29,2011-01-30,
30,2011-01-31,
31,2011-02-01,
32,2011-02-02,
33,2011-02-03,
34,2011-02-04,
35,2011-02-05,
36,2011-02-06,
37,2011-02-07,
38,2011-02-08,
39,2011-02-09,
40,2011-02-10,
41,2011-02-11,
42,2011-02-12,
43,2011-02-13,
44,2011-02-14,
45,2011-02-15,
46,2011-02-16,
47,2011-02-17,71
48,2011-02-18,71
49,2011-02-19,71
50,2011-02-20,71
51,2011-02-21,71
52,2011-02-22,71
53,2011-02-23,71
54,2011-02-24,71
55,2011-02-25,71
56,2011-02-26,71
57,2011-02-27,71
58,2011-02-28,71
59,2011-03-01,71
60,2011-03-02,71
61,2011-03-03,71
62,2011-03-04,71
63,2011-03-05,71
64,2011-03-06,71
65,2011-03-07,71
66,2011-03-08,71
67,2011-03-09,71
68,2011-03-10,71
69,2011-03-11,71
70,2011-03-12,71
71,2011-03-13,71
72,2011-03-14,71
73,2011-03-15,71
74,2011-03-16,71
75,2011-03-17,71
76,2011-03-18,71
77,2011-03-19,71
78,2011-03-20,71
79,2011-03-21,71
80,2011-03-22,71
81,2011-03-23,71
82,2011-03-24,71
83,2011-03-25,71
84,2011-03-26,71
85,2011-03-27,71
86,2011-03-28,71
87,2011-03-29,71
88,2011-03-30,71
89,2011-03-31,71
90,2011-04-01,71
91,2011-04-02,71
92,2011-04-03,71
93,2011-04-04,71
94,2011-04-05,71
95,2011-04-06,71
96,2011-04-07,71
97,2011-04-08,71
98,2011-04-09,71
99,2011-04-10,71
100,2011-04-11,71
101,2011-04-12,71
102,2011-04-13,71
103,2011-04-14,71
104,2011-04-15,71
105,2011-04-16,71
106,2011-04-17,71
107,2011-04-18,71
108,2011-04-19,71
109,2011-04-20,71
110,2011-04-21,71
111,2011-04-22,71
112,2011-04-23,71
113,2011-04-24,71
114,2011-04-25,71
115,2011-04-26,71
116,2011-04-27,71
117,2011-04-28,71
118,2011-04-29,71
119,2011-04-30,71
120,2011-05-01,71
121,2011-05-02,71
122,2011-05-03,71
123,2011-05-04,71
124,2011-05-05,71
125,2011-05-06,71
126,2011-05-07,71
127,2011-05-08,71
128,2011-05-09,
129,2011-05-10,
130,2011-05-11,
131,2011-05-12,
132,2011-05-13,
133,2011-05-14,
134,2011-05-15,
135,2011-05-16,
136,2011-05-17,
137,2011-05-18,
138,2011-05-19,
139,2011-05-20,
140,2011-05-21,
141,2011-05-22,
142,2011-05-23,
143,2011-05-24,
144,2011-05-25,
145,2011-05-26,
146,2011-05-27,
147,2011-05-28,
148,2011-05-29,
149,2011-05-30,
150,2011-05-31,
365,2012-01-01,
366,2012-01-02,
367,2012-01-03,
368,2012-01-04,
369,2012-01-05,
370,2012-01-06,
371,2012-01-07,
372,2012-01-08,
373,2012-01-09,
374,2012-01-10,
375,2012-01-11,
376,2012-01-12,
377,2012-01-13,
378,2012-01-14,
379,2012-01-15,
380,2012-01-16,
381,2012-01-17,
382,2012-01-18,
383,2012-01-19,
