between_days,DataType,c_uniqueUnitID,latitudeDeployed_DecDeg,longitudeDeployed_DecDeg
2011-02-17,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
2011-02-17,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2011-02-17,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
2011-02-17,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
2011-02-17,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
2011-02-17,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
2011-02-17,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
2011-02-17,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
2011-02-17,Whale,,42.10833333,-70.16667
2011-02-17,Zooplankton,,41.97,-70.43
2011-03-04,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
2011-03-04,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2011-03-04,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
2011-03-04,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
2011-03-04,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
2011-03-04,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
2011-03-04,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
2011-03-04,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
2011-03-04,Whale,,42.10833333,-70.16667
2011-03-06,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
2011-03-06,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2011-03-06,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
2011-03-06,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
2011-03-06,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
2011-03-06,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
2011-03-06,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
2011-03-06,Acoustic,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
