between_days,acoustic,whale,zooplankton,overlap
2011-02-17,acoustic,whale,zooplankton,True
2011-02-18,acoustic,,,False
2011-02-19,acoustic,,,False
2011-02-20,acoustic,,,False
2011-02-21,acoustic,,,False
2011-02-22,acoustic,,,False
2011-02-23,acoustic,,,False
2011-02-24,acoustic,whale,zooplankton,True
2011-02-25,acoustic,,,False
2011-02-26,acoustic,,,False
2011-02-27,acoustic,,,False
2011-02-28,acoustic,,,False
2011-03-01,acoustic,,,False
2011-03-02,acoustic,,,False
2011-03-03,acoustic,,,False
2011-03-04,acoustic,whale,,False
2011-03-05,acoustic,,,False
2011-03-06,acoustic,,,False
2011-03-07,acoustic,,,False
2011-03-08,acoustic,whale,,False
2011-03-09,acoustic,,,False
2011-03-10,acoustic,,,False
2011-03-11,acoustic,,,False
2011-03-12,acoustic,,,False
2011-03-13,acoustic,whale,,False
2011-03-14,acoustic,,,False
2011-03-15,acoustic,,,False
2011-03-16,acoustic,,,False
2011-03-17,acoustic,whale,zooplankton,True
2011-03-18,acoustic,,,False
2011-03-19,acoustic,,,False
2011-03-20,acoustic,whale,,False
2011-03-21,acoustic,,,False
2011-03-22,acoustic,,,False
2011-03-23,acoustic,whale,,False
2011-03-24,acoustic,,,False
2011-03-25,acoustic,whale,,False
2011-03-26,acoustic,,,False
2011-03-27,acoustic,,,False
2011-03-28,acoustic,,,False
2011-03-29,acoustic,,,False
2011-03-30,acoustic,whale,,False
2011-03-31,acoustic,,,False
2011-04-01,acoustic,,,False
2011-04-02,acoustic,,,False
2011-04-03,acoustic,,,False
2011-04-04,acoustic,,,False
2011-04-05,acoustic,,,False
2011-04-06,acoustic,,,False
2011-04-07,acoustic,,,False
2011-04-08,acoustic,,,False
2011-04-09,acoustic,,,False
2011-04-10,acoustic,,,False
2011-04-11,acoustic,,,False
2011-04-12,acoustic,,,False
2011-04-13,acoustic,,,False
2011-04-14,acoustic,,,False
2011-04-15,acoustic,,,False
2011-04-16,acoustic,,,False
2011-04-17,acoustic,,,False
2011-04-18,acoustic,,,False
2011-04-19,acoustic,whale,zooplankton,True
2011-04-20,acoustic,,,False
2011-04-21,acoustic,,,False
2011-04-22,acoustic,whale,,False
2011-04-23,acoustic,,,False
2011-04-24,acoustic,whale,,False
2011-04-25,acoustic,whale,zooplankton,True
2011-04-26,acoustic,,,False
2011-04-27,acoustic,,,False
2011-04-28,acoustic,,,False
2011-04-29,acoustic,whale,zooplankton,True
2011-04-30,acoustic,,,False
2011-05-01,acoustic,,,False
2011-05-02,acoustic,,,False
2011-05-03,acoustic,whale,,False
2011-05-04,acoustic,,,False
2011-05-05,acoustic,,,False
2011-05-06,acoustic,,,False
2011-05-07,acoustic,,,False
2011-05-08,acoustic,,,False
2012-01-07,,whale,,False
2012-01-16,,whale,,False
2012-01-23,,whale,,False
2012-01-26,,whale,zooplankton,False
2012-02-02,,whale,,False
2012-02-05,,whale,,False
2012-02-09,,whale,zooplankton,False
2012-02-15,,whale,zooplankton,False
2012-02-27,,whale,zooplankton,False
2012-02-29,,whale,zooplankton,False
2012-03-04,,whale,,False
2012-03-17,,whale,,False
2012-03-20,,whale,,False
2012-03-23,,whale,zooplankton,False
2012-04-01,,whale,zooplankton,False
2012-04-06,,whale,,False
2012-04-13,,whale,zooplankton,False
2012-04-17,,whale,zooplankton,False
2012-04-19,,whale,,False
2012-04-26,,whale,,False
2012-05-03,,whale,,False
2012-05-07,,whale,,False
2013-01-28,acoustic,whale,zooplankton,True
2013-01-29,acoustic,,,False
2013-01-30,acoustic,,,False
2013-01-31,acoustic,,,False
2013-02-01,acoustic,,,False
2013-02-02,acoustic,,,False
2013-02-03,acoustic,,,False
2013-02-04,acoustic,,,False
2013-02-05,acoustic,whale,,False
2013-02-06,acoustic,,,False
2013-02-07,acoustic,,,False
2013-02-08,acoustic,,,False
2013-02-09,acoustic,,,False
2013-02-10,acoustic,,,False
2013-02-11,acoustic,,,False
2013-02-12,acoustic,,,False
2013-02-13,acoustic,whale,,False
2013-02-14,acoustic,,,False
2013-02-15,acoustic,,,False
2013-02-16,acoustic,,,False
2013-02-17,acoustic,,,False
2013-02-18,acoustic,,,False
2013-02-19,acoustic,whale,,False
2013-02-20,acoustic,,,False
2013-02-21,acoustic,,,False
2013-02-22,acoustic,,,False
2013-02-23,acoustic,whale,,False
2013-02-24,acoustic,,,False
2013-02-25,acoustic,,,False
2013-02-26,acoustic,,,False
2013-02-27,acoustic,,,False
2013-02-28,acoustic,,,False
2013-03-01,acoustic,,,False
2013-03-02,acoustic,,,False
2013-03-03,acoustic,,,False
2013-03-04,acoustic,,,False
2013-03-05,acoustic,,,False
2013-03-06,acoustic,,,False
2013-03-07,acoustic,,,False
2013-03-08,acoustic,,,False
2013-03-09,acoustic,,,False
2013-03-10,acoustic,,,False
2013-03-11,acoustic,whale,zooplankton,True
2013-03-12,acoustic,,,False
2013-03-13,acoustic,whale,,False
2013-03-14,acoustic,,,False
2013-03-15,acoustic,,,False
2013-03-16,acoustic,,,False
2013-03-17,acoustic,,,False
2013-03-18,acoustic,whale,zooplankton,True
2013-03-19,acoustic,,,False
2013-03-20,acoustic,,,False
2013-03-21,acoustic,whale,,False
2013-03-22,acoustic,,,False
2013-03-23,acoustic,,,False
2013-03-24,acoustic,,,False
2013-03-25,acoustic,,,False
2013-03-26,acoustic,,,False
2013-03-27,acoustic,whale,,False
2013-03-28,acoustic,,,False
2013-03-29,acoustic,,,False
2013-03-30,acoustic,whale,,False
2013-03-31,acoustic,,,False
2013-04-01,acoustic,,,False
